rpt_rec_num,Provider CCN,Facility Name,Street Address,City,State Code,Zip Code,County,Medicare CBSA Number,Rural versus Urban,Fiscal Year Begin Date,Fiscal Year End Date,Type of Control,Number of Beds,Total Bed Days Available,Total Days Title XVIII,Total Days Total,Total Discharges Title XVIII,Total Discharges Total,Inpatient Revenue,Outpatient Revenue,Total Patient Revenue,Less Contractual Allowance and Discounts on Patients' Accounts,Net Patient Revenue,Less Total Operating Expense,Net Income from Service to Patients,Net Income,DRG Amounts Other Than Outlier Payments,Total IME Payment,Allowable DSH Percentage,Cost To Charge Ratio
700932,378924,ANDREWS-JACOBS MEDICAL CENTER,104 BOBBY FERRY,SMITHSHIRE,NJ,70087,PORT JOSEPH COUNTY,36706,U,02/01/2022,01/28/2023,Government - State,192,70080,33993,58925,4668,8093,680218121.81,368575049.8,1048793171.6099999,460370385.82,588422785.79,567713881.57,20708904.22,20708904.22,74071848.28,0,0.4031,0.3616
700933,354696,BROWN-LEE MEDICAL CENTER,389 HOLMES COMMON SUITE 936,PORT AARONMOUTH,CO,38346,LAKE ROBERTFORT COUNTY,49896,R,02/01/2022,01/28/2023,Voluntary Non-profit - Church,671,244915,136876,219383,20504,32865,2534982616.93,1373013771.12,3907996388.0499997,1616812160.13,2291184227.9199996,1957739771.05,333444456.87,333444456.87,376269419.95,16812977.83,0.3155,0.5434
700934,221711,SOSA LLC MEDICAL CENTER,8776 SWANSON OVAL,SOUTH SHANNONBURGH,PA,05448,NEW GREGORY COUNTY,37688,R,04/01/2022,03/28/2023,Government - State,773,282145,115309,253540,23940,52639,3935414310.29,3867167637.35,7802581947.639999,2464251785.72,5338330161.92,4981531349.98,356798811.94,356798811.94,108112705.07,15551665.17,0.2429,0.2702
700935,785046,ARMSTRONG LTD MEDICAL CENTER,6073 ESCOBAR ROUTE SUITE 804,NORTH CHRISTOPHER,WA,71896,BETHHAVEN COUNTY,45456,R,05/01/2022,04/28/2023,Proprietary - Individual,576,210240,92355,152178,13416,22107,818995727.19,376777580.41,1195773307.6000001,396828031.81,798945275.7900002,727925185.23,71020090.56,71020090.56,205038052.62,13492452.74,0.2874,0.5368
700936,674344,"JONES, MORRIS AND ANDREWS MEDICAL CENTER",055 BULLOCK CORNER APT. 992,SOUTH DOUGLAS,GA,23553,NORTH ANNAPORT COUNTY,30188,U,03/01/2022,02/28/2023,Government - State,777,283605,143805,222195,20803,32144,951526613.46,678087732.0,1629614345.46,639069338.45,990545007.01,853670531.54,136874475.47,136874475.47,367100724.24,34770678.9,0.0877,0.5003
700937,645989,SMITH LLC MEDICAL CENTER,7091 CHARLES LIGHT,POWELLHAVEN,GA,64932,PORT MICHAELMOUTH COUNTY,14124,U,04/01/2022,03/28/2023,Government - State,376,137240,47137,88821,7348,13846,919057916.86,374264252.61,1293322169.47,531664583.95,761657585.52,611274802.62,150382782.9,150382782.9,66435945.66,5432688.99,0.3559,0.5141
700938,745952,"GUERRERO, HUBBARD AND JOHNSTON MEDICAL CENTER",336 CANDACE GATEWAY APT. 196,SCOTTVILLE,OH,11593,PORT JOHNSTAD COUNTY,17375,U,05/01/2022,04/28/2023,Proprietary - Corporation,47,17155,6544,12683,1061,2057,85650397.73,80834492.86,166484890.59,60555137.23,105929753.36000001,90756064.65,15173688.71,15173688.71,6825451.83,0,0.2536,0.311
700939,757463,"PEARSON, TAYLOR AND FIELDS MEDICAL CENTER",67565 BRADLEY CLIFF,NORTH JASON,NY,38584,MICHAELBOROUGH COUNTY,10649,R,06/01/2022,05/28/2023,Voluntary Non-profit - Other,556,202940,81641,180221,14801,32674,2051189514.37,2147065826.24,4198255340.6099997,1371588745.58,2826666595.0299997,2437495354.75,389171240.28,389171240.28,122499910.68,15067927.7,0.1167,0.2439
700940,109841,CLARK-HARVEY MEDICAL CENTER,72345 SHAH SUMMIT,SOUTH BRADLAND,AZ,06202,HOWEVILLE COUNTY,47560,U,02/01/2022,01/28/2023,Voluntary Non-profit - Other,192,70080,30214,47332,6979,10933,533711196.85,449545772.14,983256968.99,516635610.92,466621358.07,382136793.09,84484564.98,84484564.98,47776842.13,0,0.0917,0.6525
700941,571208,"BARR, WALKER AND WARD MEDICAL CENTER",3500 MICHAEL TERRACE SUITE 912,RAMIREZBURY,AZ,05736,MARTINEZBOROUGH COUNTY,13096,U,04/01/2022,03/28/2023,Voluntary Non-profit - Other,362,132130,51465,93569,8599,15634,566670146.48,496405039.68,1063075186.1600001,444824362.27,618250823.8900001,538845850.81,79404973.08,79404973.08,142561713.96,7235450.66,0.1098,0.2048
700942,795820,KENNEDY INC MEDICAL CENTER,68964 SCHNEIDER CREEK APT. 245,PORT JEFFREYMOUTH,MO,91481,WEST JEFFREYSIDE COUNTY,38311,U,04/01/2022,03/28/2023,Government - State,762,278130,103516,186972,22820,41219,3562251057.43,3643625068.95,7205876126.379999,2802889388.74,4402986737.639999,3980710384.51,422276353.13,422276353.13,112260376.04,6055066.59,0.2761,0.208
700943,485129,FRANCO-BRIDGES MEDICAL CENTER,20738 ALLISON VILLAGE,PORT ALYSSA,OH,91199,PORT JOSEPHSIDE COUNTY,18619,U,03/01/2022,02/28/2023,Government - State,763,278495,133191,243901,22378,40980,1248810260.67,1376875124.93,2625685385.6000004,1315235920.9,1310449464.7000003,1036112986.2,274336478.5,274336478.5,293962002.87,7698484.89,0.1586,0.6866
700944,658826,RAY-MALONE MEDICAL CENTER,102 JENNIFER FORGE SUITE 346,DUNLAPBURY,NC,30570,NEW ROBERT COUNTY,18973,R,05/01/2022,04/28/2023,Proprietary - Corporation,520,189800,53891,118997,9636,21278,1861480104.37,1341560180.13,3203040284.5,1694845487.59,1508194796.91,1326616926.06,181577870.85,181577870.85,61408117.28,3811537.14,0.1877,0.5948
700945,864650,"ALVAREZ, WILLIAMS AND FIGUEROA MEDICAL CENTER",0995 MARY HAVEN,NORTH JESSICATON,GA,57414,JESSEPORT COUNTY,49372,U,03/01/2022,02/28/2023,Proprietary - Individual,210,76650,15360,43591,3085,8755,785796275.09,721371222.78,1507167497.87,563264369.31,943903128.56,826751295.33,117151833.23,117151833.23,22683503.39,1304632.2,0.3642,0.2722
700946,332497,CHAN-FRAZIER MEDICAL CENTER,9975 FITZGERALD PORTS,NEW JULIEBERG,IN,97847,WEST JENNIFERTON COUNTY,14455,U,06/01/2022,05/28/2023,Voluntary Non-profit - Other,572,208780,44648,126904,6432,18284,1693968444.44,1067159273.57,2761127718.01,1331315112.31,1429812605.7000003,1223923107.78,205889497.92,205889497.92,44963998.13,5230792.37,0.2078,0.6785
700947,956001,NICHOLS PLC MEDICAL CENTER,04075 STONE ROUTE SUITE 888,ZAMORASTAD,WA,79591,PRICETON COUNTY,21161,R,05/01/2022,04/28/2023,Voluntary Non-profit - Other,171,62415,23408,47871,4960,10145,785982545.37,651467422.36,1437449967.73,627295190.66,810154777.07,660628323.67,149526453.4,149526453.4,45712858.49,0,0.1184,0.5649
700948,686034,GREGORY INC MEDICAL CENTER,381 JASMINE TURNPIKE SUITE 021,JAMESFORT,MN,60354,BRADLEYMOUTH COUNTY,27645,U,04/01/2022,03/28/2023,Voluntary Non-profit - Other,128,46720,20386,31693,3859,6000,278128447.76,129949041.43,408077489.19,129213667.64,278863821.55,222749162.92,56114658.63,56114658.63,30297189.38,0,0.0871,0.5929
700949,435741,CLARK-TAYLOR MEDICAL CENTER,7666 GREGORY COURTS,AVILABURY,WA,73963,EAST ANTHONY COUNTY,49520,R,02/01/2022,01/28/2023,Voluntary Non-profit - Church,244,89060,23029,58697,4078,10395,610469020.53,607221277.11,1217690297.6399999,588220115.6,629470182.0399998,526627996.63,102842185.41,102842185.41,33864892.62,4224682.44,0.2784,0.36
700950,749764,CARNEY INC MEDICAL CENTER,8450 EMILY MOUNTAIN SUITE 929,PORT CASSIE,OH,04887,WILLISSHIRE COUNTY,21474,U,04/01/2022,03/28/2023,Voluntary Non-profit - Church,547,199655,60594,145425,13138,31532,1096321585.6,511452337.65,1607773923.25,798868820.06,808905103.19,724036110.99,84868992.2,84868992.2,167407029.11,12643603.71,0.065,0.3704
700951,719386,"BOYD, MITCHELL AND JOHNSON MEDICAL CENTER",5521 BARBER COMMON,KIDDBERG,GA,80091,WEST DOUGLASPORT COUNTY,13276,U,02/01/2022,01/28/2023,Government - State,516,188340,56362,137843,10962,26810,1627999709.71,890782165.18,2518781874.89,1186517042.41,1332264832.4799998,1085004767.81,247260064.67,247260064.67,139794175.06,6661457.51,0.181,0.4848
700952,603237,"COOPER, RIVERA AND GILLESPIE MEDICAL CENTER",843 WILLIAMS SPRINGS,EAST AARON,CO,08656,LAKE BENJAMIN COUNTY,48512,U,02/01/2022,01/28/2023,Government - State,389,141985,48047,97358,9301,18848,1600957655.68,1276365442.69,2877323098.37,1392063781.27,1485259317.1,1237855254.44,247404062.66,247404062.66,96998034.78,2763432.57,0.1742,0.3188
700953,976576,"BREWER, BENNETT AND BRAY MEDICAL CENTER",12594 BIRD RUN,LAKE FRANK,NC,78250,PORT RACHELCHESTER COUNTY,20729,U,02/01/2022,01/28/2023,Government - Local,669,244185,86824,202577,12075,28175,621390836.67,540630874.15,1162021710.82,518795412.21,643226298.6099999,471242400.06,171983898.55,171983898.55,134276808.46,6663319.4,0.0568,0.2259
700954,663796,"JONES, RUBIO AND OWENS MEDICAL CENTER",554 JAMIE COURTS APT. 641,LAKE JAMESTOWN,VA,90814,NEW CHRISTOPHER COUNTY,46768,R,03/01/2022,02/28/2023,Proprietary - Corporation,444,162060,55173,126211,10715,24513,1669149847.65,1188251008.38,2857400856.03,1383069567.24,1474331288.7900002,1333686659.22,140644629.57,140644629.57,137646031.72,13759012.08,0.2331,0.3574
700955,275902,"SANFORD, MCCANN AND WARD MEDICAL CENTER",82066 BISHOP JUNCTIONS,SOUTH WILLIAMMOUTH,TX,12695,BAILEYBOROUGH COUNTY,44656,U,01/01/2022,12/28/2023,Voluntary Non-profit - Other,381,139065,43920,113219,7430,19155,508746546.04,444577636.41,953324182.45,328694288.5,624629893.95,525332693.0,99297200.95,99297200.95,94631481.81,10043683.69,0.3025,0.5252
700956,767409,"FRIEDMAN, MARTINEZ AND LE MEDICAL CENTER",51100 MARK CLIFFS SUITE 313,EAST JERRY,NY,72082,RIVERAHAVEN COUNTY,44299,U,02/01/2022,01/28/2023,Voluntary Non-profit - Church,108,39420,17330,27602,2594,4133,242781964.96,275004780.2,517786745.15999997,189340649.36,328446095.79999995,266536525.42,61909570.38,61909570.38,29605925.64,0,0.3542,0.2784
700957,123734,"OCHOA, SCHROEDER AND SHAW MEDICAL CENTER",1225 MERCEDES CAMP,COOKBERG,IL,95922,PORT KATHLEEN COUNTY,16905,U,01/01/2022,12/28/2023,Proprietary - Corporation,678,247470,66885,131549,12554,24691,1270355450.21,1053252780.93,2323608231.14,1147491097.87,1176117133.27,1112505357.6,63611775.67,63611775.67,70335871.55,10049856.63,0.1846,0.4916
700958,116216,JOHNS-BARNETT MEDICAL CENTER,88805 LISA MILL APT. 729,TAYLORTOWN,MO,40627,EAST KEVIN COUNTY,22789,R,06/01/2022,05/28/2023,Government - Local,348,127020,44641,73372,6156,10118,638045996.63,368030627.58,1006076624.21,500351745.16,505724879.05,422456107.09,83268771.96,83268771.96,103863097.0,12265270.16,0.2359,0.3931
700959,151967,"SHEA, RODRIGUEZ AND MARTIN MEDICAL CENTER",46297 LOPEZ TRAIL,LAKE CASSANDRA,CO,90368,LAKE JOHN COUNTY,44807,R,04/01/2022,03/28/2023,Government - State,149,54385,23734,40490,5317,9071,336930716.83,365946921.28,702877638.1099999,232942474.95,469935163.1599999,402972904.26,66962258.9,66962258.9,37123946.7,0,0.1473,0.6107
700960,662292,ANDERSON INC MEDICAL CENTER,52452 THOMAS GLEN,LAKE SHERRI,PA,53203,EAST TERRENCESHIRE COUNTY,24223,R,02/01/2022,01/28/2023,Government - State,759,277035,68450,157349,15552,35750,1016852751.66,579343652.14,1596196403.8,662835935.58,933360468.2199999,886896821.73,46463646.49,46463646.49,130655053.83,6105955.56,0.353,0.5691
700961,412408,VAUGHAN-SILVA MEDICAL CENTER,23828 NICHOLAS EXTENSION APT. 988,NEW CHRISTOPHERSHIRE,NC,44692,WEST ANTHONYSTAD COUNTY,31909,U,06/01/2022,05/28/2023,Proprietary - Corporation,606,221190,62095,136183,9084,19924,451223419.15,183057514.84,634280933.99,243225078.12,391055855.87,365692597.58,25363258.29,25363258.29,66544752.18,6805730.45,0.1668,0.3093
700962,797911,"HEBERT, RYAN AND BAKER MEDICAL CENTER",39776 SILVA INLET,MCDANIELSHIRE,OH,22249,LOPEZFORT COUNTY,34786,U,02/01/2022,01/28/2023,Voluntary Non-profit - Church,606,221190,59502,131058,8386,18472,476525385.49,301231640.59,777757026.0799999,309719838.54,468037187.5399999,374321736.84,93715450.7,93715450.7,80682925.24,6712873.97,0.2328,0.3653
700963,785908,FERNANDEZ AND SONS MEDICAL CENTER,83684 THOMAS BRIDGE APT. 151,KATHYVILLE,IN,74372,EAST JAMESMOUTH COUNTY,36843,R,03/01/2022,02/28/2023,Voluntary Non-profit - Church,327,119355,26341,70307,3837,10243,386619019.36,407341865.46,793960884.8199999,373748680.93,420212203.8899999,370566187.07,49646016.82,49646016.82,71697812.88,4447621.5,0.4067,0.7067
700964,965433,RUSSELL-TUCKER MEDICAL CENTER,757 BOOTH PINE APT. 035,LAKE BRENDALAND,CO,51628,NEW LESLIE COUNTY,39706,U,03/01/2022,02/28/2023,Government - State,63,22995,7072,13651,1682,3247,181059056.53,103419950.18,284479006.71000004,104123495.62,180355511.09000003,148181465.56,32174045.53,32174045.53,18086560.18,0,0.1553,0.5877
700965,323836,BROWN-BAIRD MEDICAL CENTER,796 CHRISTOPHER RAPIDS,NEW JOHNPORT,IN,01578,DAVIDVIEW COUNTY,43138,U,05/01/2022,04/28/2023,Proprietary - Individual,631,230315,61284,148236,14347,34705,1725033932.04,1790292348.51,3515326280.55,1422291421.23,2093034859.3200002,1911632501.93,181402357.39,181402357.39,125812566.22,18302545.79,0.4179,0.6868
700966,127960,LEON-CARTER MEDICAL CENTER,05086 GRAVES PARKWAY,LAKE BRITTANY,PA,56429,BAKERVIEW COUNTY,46228,U,02/01/2022,01/28/2023,Voluntary Non-profit - Church,490,178850,89489,146380,13377,21882,984615267.78,1067857496.5,2052472764.28,737417282.11,1315055482.17,1177160213.7,137895268.47,137895268.47,224360625.8,8083077.1,0.1564,0.606
700967,394513,MILLER-SANCHEZ MEDICAL CENTER,6279 MARTHA VIEW APT. 650,COLLINSBURGH,NC,20787,SOUTH GREGORYLAND COUNTY,36522,R,02/01/2022,01/28/2023,Proprietary - Corporation,302,110230,52557,90664,12177,21007,871583569.08,493849420.76,1365432989.8400002,581632396.99,783800592.8500001,643944138.9,139856453.95,139856453.95,91557246.85,10727183.61,0.4347,0.4227
700968,433733,"PEARSON, MILLER AND PORTER MEDICAL CENTER",623 WILLIAMS INLET APT. 198,EAST JAMESSHIRE,MA,21489,NEW GEORGECHESTER COUNTY,12589,R,03/01/2022,02/28/2023,Voluntary Non-profit - Church,121,44165,9508,26971,2241,6359,561576721.16,647870651.49,1209447372.65,468390732.49,741056640.1600001,618264973.86,122791666.3,122791666.3,18401850.69,0,0.2084,0.5338
700969,373614,SMITH AND SONS MEDICAL CENTER,6129 COURTNEY MOUNTAINS,SOUTH BRETTFORT,GA,94591,JASONSHIRE COUNTY,27742,R,05/01/2022,04/28/2023,Voluntary Non-profit - Other,263,95995,44484,83403,6750,12656,574831218.65,442309762.79,1017140981.44,307004375.73,710136605.71,579349536.86,130787068.85,130787068.85,98309079.03,12687035.91,0.1588,0.6337
700970,595190,KELLY LTD MEDICAL CENTER,430 PEREZ LOCK,NEW TIMOTHY,WA,14373,NEW ASHLEY COUNTY,47639,U,06/01/2022,05/28/2023,Voluntary Non-profit - Other,102,37230,10006,20223,1605,3244,83068727.0,75379339.53,158448066.53,53256092.83,105191973.7,93882370.93,11309602.77,11309602.77,22985978.79,0,0.2399,0.279
700971,346004,"BLEVINS, ARROYO AND WRIGHT MEDICAL CENTER",37544 CAMPBELL FERRY,LARRYTOWN,MO,51065,EAST JULIA COUNTY,35072,U,01/01/2022,12/28/2023,Proprietary - Corporation,105,38325,20942,34754,3071,5097,164557700.94,67664649.55,232222350.49,117991115.72,114231234.77000001,95865976.67,18365258.1,18365258.1,40078419.78,0,0.2987,0.2336
700972,272148,SMITH-PHILLIPS MEDICAL CENTER,08956 KEMP SHORES,RICKYFORT,NC,99923,TOWNSENDBERG COUNTY,47436,R,06/01/2022,05/28/2023,Voluntary Non-profit - Other,245,89425,17062,48253,2842,8039,422418198.78,389570187.51,811988386.29,254982734.31,557005651.98,488620714.44,68384937.54,68384937.54,41044394.04,2906767.47,0.371,0.401
700973,148396,"JENSEN, BENNETT AND MEYER MEDICAL CENTER",63841 WRIGHT STATION SUITE 032,MCKINNEYLAND,TN,97876,SOUTH NICOLE COUNTY,21250,R,02/01/2022,01/28/2023,Voluntary Non-profit - Church,622,227030,54571,120816,9457,20938,881492169.41,394860886.66,1276353056.07,540833172.66,735519883.41,618372208.41,117147675.0,117147675.0,131909409.47,6345426.28,0.2346,0.2389
700974,732817,VALDEZ-STEWART MEDICAL CENTER,429 ALBERT TRAFFICWAY,PORT ROGER,TN,48854,EAST SHIRLEY COUNTY,47321,R,01/01/2022,12/28/2023,Government - State,414,151110,64147,111955,11136,19437,462968522.64,329577127.43,792545650.0699999,266005077.92,526540572.15,450814015.52,75726556.63,75726556.63,144259926.76,8123652.6,0.213,0.6162
700975,113360,JACOBSON-RODRIGUEZ MEDICAL CENTER,284 AMBER VALLEYS,CHADMOUTH,CA,64211,SOUTH KRISTINVIEW COUNTY,32434,R,04/01/2022,03/28/2023,Voluntary Non-profit - Other,510,186150,76546,157362,14688,30197,1490034675.56,1768075607.16,3258110282.7200003,1095295021.5,2162815261.2200003,1892405920.5,270409340.72,270409340.72,88051995.66,5888122.23,0.0871,0.6721
700976,926785,HERNANDEZ GROUP MEDICAL CENTER,702 ANDRES RIDGES,SOUTH RACHELMOUTH,MA,47810,LAKE ERIKCHESTER COUNTY,30696,U,04/01/2022,03/28/2023,Voluntary Non-profit - Other,798,291270,102322,160807,14180,22285,1541064788.25,637406158.68,2178470946.93,801457925.04,1377013021.8899999,1289518967.45,87494054.44,87494054.44,165155124.59,3788412.96,0.3198,0.6784
700977,232809,WILKINS-CALHOUN MEDICAL CENTER,3212 JOSEPH MOUNTAINS APT. 928,EAST DANNY,OH,12008,NORTH LINDA COUNTY,30949,U,01/01/2022,12/28/2023,Government - State,443,161695,43609,89057,6319,12905,947942032.15,397458021.09,1345400053.24,730106426.19,615293627.05,546243127.31,69050499.74,69050499.74,83995068.42,2902288.19,0.0648,0.678
700978,633079,CHRISTENSEN LLC MEDICAL CENTER,282 ELIZABETH SQUARES,WEST MICHEALSTAD,CA,97285,SOUTH DANNYPORT COUNTY,24017,U,06/01/2022,05/28/2023,Proprietary - Corporation,199,72635,31028,60585,5605,10945,835360714.36,524964579.68,1360325294.04,614408027.29,745917266.75,632547462.17,113369804.58,113369804.58,79733754.24,0,0.4423,0.7195
700979,655927,"FREEMAN, COLEMAN AND HARRIS MEDICAL CENTER",0212 JOHN FORKS,PORT CLAYTON,AL,14939,MURILLOVILLE COUNTY,12858,U,01/01/2022,12/28/2023,Proprietary - Corporation,537,196005,63031,142094,12471,28114,1612625565.82,942703848.67,2555329414.49,1290993546.22,1264335868.2699997,1056287068.55,208048799.72,208048799.72,115493076.64,11614267.84,0.2769,0.4885
700980,777721,SOLIS-ALLEN MEDICAL CENTER,9200 JEFFREY GREEN,NEW MICHELLE,PA,12162,PORT GREGGTON COUNTY,30877,R,05/01/2022,04/28/2023,Proprietary - Corporation,231,84315,36251,56768,5787,9063,744866587.45,765974944.71,1510841532.16,823275459.87,687566072.2900001,553854603.97,133711468.32,133711468.32,98099174.12,8391605.3,0.0969,0.2812
700981,809503,WEEKS INC MEDICAL CENTER,601 TRAN BROOK APT. 471,EAST BRYAN,AL,45245,SOUTH HALEYFORT COUNTY,34700,R,01/01/2022,12/28/2023,Proprietary - Individual,197,71905,15693,39239,2358,5897,329397186.25,379149448.58,708546634.8299999,238848307.04,469698327.78999996,369382244.62,100316083.17,100316083.17,20617896.74,0,0.0744,0.5816
700982,823494,BREWER PLC MEDICAL CENTER,82582 RANDY PARKWAYS,AMYMOUTH,NC,52273,NORTH SUSAN COUNTY,25407,R,04/01/2022,03/28/2023,Government - Local,489,178485,41966,109467,9954,25965,1499327217.64,1285507908.49,2784835126.13,1377201866.27,1407633259.8600001,1208680502.61,198952757.25,198952757.25,39614688.86,5710174.02,0.3902,0.447
700983,648864,"RIOS, COOKE AND YOUNG MEDICAL CENTER",719 KLEIN PLAINS,NORTH KIMBERLY,NY,07902,JAMESBURGH COUNTY,26909,U,05/01/2022,04/28/2023,Voluntary Non-profit - Other,784,286160,133367,241619,18222,33013,2061399877.34,1582876609.18,3644276486.52,1745937209.25,1898339277.27,1481665903.12,416673374.15,416673374.15,257707810.78,33384469.61,0.0829,0.2019
700984,877051,BAILEY-WILLIAMS MEDICAL CENTER,436 SANCHEZ VIEW,EAST ALEXANDER,AL,52142,LUISSIDE COUNTY,26982,R,06/01/2022,05/28/2023,Government - State,636,232140,124870,194583,21165,32982,2331526044.61,1397127202.89,3728653247.5,1229281697.83,2499371549.67,2161290083.86,338081465.81,338081465.81,135188065.07,18211111.42,0.1773,0.2564
700985,425642,WILLIAMS-CUNNINGHAM MEDICAL CENTER,6848 WENDY RIVER,FLORESBERG,TX,77926,MELANIECHESTER COUNTY,48142,R,05/01/2022,04/28/2023,Proprietary - Corporation,341,124465,25594,72006,4063,11432,914317975.75,851947376.69,1766265352.44,560088743.32,1206176609.12,1001589054.7,204587554.42,204587554.42,44746185.42,3076659.84,0.2799,0.4132
700986,461018,JONES-RICHARDS MEDICAL CENTER,51830 OBRIEN CAUSEWAY APT. 841,PORT JEREMIAHBURY,FL,63425,WEST LISA COUNTY,19783,U,05/01/2022,04/28/2023,Voluntary Non-profit - Other,758,276670,55009,149659,11816,32148,2760068544.83,2696074110.77,5456142655.6,2741866245.85,2714276409.7500005,2302453830.64,411822579.11,411822579.11,145731821.73,15278578.68,0.2553,0.1982
700987,472428,"POWERS, BLAKE AND SHAFFER MEDICAL CENTER",9037 SKINNER CROSSROAD,DAVISFORT,MO,17639,SCHMIDTMOUTH COUNTY,20451,U,01/01/2022,12/28/2023,Voluntary Non-profit - Church,537,196005,84713,169745,13086,26223,2299029587.16,1779575784.48,4078605371.64,2028768286.89,2049837084.7499998,1765261454.95,284575629.8,284575629.8,226018437.18,14640865.32,0.2318,0.7159
700988,141996,RUSH LTD MEDICAL CENTER,3080 MELISSA UNION,NORTH NATHANPORT,TN,97455,STEPHENCHESTER COUNTY,40451,U,01/01/2022,12/28/2023,Voluntary Non-profit - Other,167,60955,20146,44810,3350,7453,528191389.84,607744665.87,1135936055.71,519219839.75,616716215.96,547936340.03,68779875.93,68779875.93,43607253.82,0,0.4069,0.2983
700989,642124,ROGERS LLC MEDICAL CENTER,2228 PORTER GARDENS SUITE 764,NEW CAROLYN,MA,68305,WEST DIANAFORT COUNTY,32993,U,06/01/2022,05/28/2023,Voluntary Non-profit - Other,461,168265,41848,114298,9054,24730,906535701.63,466557132.47,1373092834.1,441677939.05,931414895.05,812724720.79,118690174.26,118690174.26,109547647.54,10277078.9,0.4461,0.1959
700990,323364,HENDRICKS INC MEDICAL CENTER,25969 HALE CENTERS,EAST CHRISTOPHERFORT,MA,86159,NAVARROTOWN COUNTY,38823,U,06/01/2022,05/28/2023,Voluntary Non-profit - Other,570,208050,58754,166227,8865,25083,1292085965.95,852882483.0,2144968448.95,1155988001.25,988980447.7,925646093.42,63334354.28,63334354.28,95503908.31,2481234.97,0.4001,0.6402
700991,632361,"DAVIS, HURLEY AND MARTINEZ MEDICAL CENTER",63456 DAVID TERRACE,BRENTSTAD,MI,11208,GRAHAMHAVEN COUNTY,42189,U,05/01/2022,04/28/2023,Government - State,417,152205,45812,128131,7326,20492,894127735.92,362546320.03,1256674055.9499998,533841606.2,722832449.7499998,640879697.99,81952751.76,81952751.76,84040023.78,3307571.56,0.144,0.2713
700992,265522,TUCKER-BLAKE MEDICAL CENTER,016 ALBERT MEADOWS APT. 507,SOUTH CANDACE,MN,63035,PATRICKSIDE COUNTY,15019,U,02/01/2022,01/28/2023,Proprietary - Corporation,800,292000,90496,163405,13066,23593,1638527832.6,895649303.32,2534177135.92,1047288739.73,1486888396.19,1210136956.34,276751439.85,276751439.85,242203500.5,34185740.56,0.3633,0.6573
700993,489201,GUTIERREZ AND SONS MEDICAL CENTER,363 LAUREN KEY SUITE 313,EAST KRISTENVIEW,NJ,82442,REGINAVILLE COUNTY,47068,U,05/01/2022,04/28/2023,Proprietary - Individual,583,212795,89413,147334,17567,28948,1910944009.78,1487945061.54,3398889071.3199997,1724825170.94,1674063900.3799996,1484710071.3,189353829.08,189353829.08,86672394.52,12718804.62,0.0935,0.7057
700994,553680,KING-NEAL MEDICAL CENTER,628 WILSON DRIVES APT. 088,EAST DAVIDPORT,FL,08321,PORT KEVIN COUNTY,33390,R,05/01/2022,04/28/2023,Government - State,265,96725,26805,62112,5479,12698,281017699.52,275635244.58,556652944.0999999,289279333.26,267373610.8399999,242237329.8,25136281.04,25136281.04,41250991.9,4242077.42,0.3874,0.6043
700995,644825,KIM AND SONS MEDICAL CENTER,3667 MEGAN PORTS,NEW REBEKAHMOUTH,AL,62633,ANNAVIEW COUNTY,30101,R,06/01/2022,05/28/2023,Proprietary - Individual,434,158410,53311,123143,10383,23985,1943114682.42,1968631561.57,3911746243.99,1272369152.19,2639377091.7999997,2260527566.72,378849525.08,378849525.08,101785263.11,8170090.38,0.051,0.5457
700996,153977,CHAMBERS-WILLIAMSON MEDICAL CENTER,694 MOSS CANYON SUITE 967,WEST HEATHER,MI,93577,EAST DEBORAHPORT COUNTY,15970,R,01/01/2022,12/28/2023,Proprietary - Individual,537,196005,84518,168765,17644,35233,809918996.56,658831647.75,1468750644.31,656049230.78,812701413.53,633044047.96,179657365.57,179657365.57,200379485.13,13054958.0,0.0893,0.3479
700997,929277,MARQUEZ LLC MEDICAL CENTER,684 MARTINEZ LAKE,DANIELMOUTH,MA,98918,ZACHARYSTAD COUNTY,35234,U,06/01/2022,05/28/2023,Voluntary Non-profit - Church,109,39785,13450,33134,1907,4700,127472072.47,91927614.77,219399687.24,82875783.22,136523904.02,119292083.23,17231820.79,17231820.79,24797434.06,0,0.0902,0.2894
700998,239132,MURRAY AND SONS MEDICAL CENTER,252 CARPENTER POINTS,MICHELLELAND,AZ,03739,SOUTH RHONDASTAD COUNTY,16481,U,02/01/2022,01/28/2023,Proprietary - Corporation,740,270100,85438,161693,14198,26870,1708971065.89,1509897577.96,3218868643.8500004,1736552560.93,1482316082.9200003,1145267708.43,337048374.49,337048374.49,125239006.01,17756672.02,0.3753,0.5914
700999,925667,GARZA-MURPHY MEDICAL CENTER,08131 ADAMS VILLAGE SUITE 891,CLARKEHAVEN,TN,27479,GABRIELLAND COUNTY,40582,U,05/01/2022,04/28/2023,Proprietary - Individual,449,163885,50655,88133,7115,12379,945020542.95,1046406952.16,1991427495.1100001,674888844.23,1316538650.88,1246850569.49,69688081.39,69688081.39,140931639.15,16042052.63,0.1533,0.6484
701000,691921,MASON-SMITH MEDICAL CENTER,076 WILSON DALE,GARYSIDE,AL,40667,EAST JAMES COUNTY,24856,U,02/01/2022,01/28/2023,Voluntary Non-profit - Church,668,243820,56929,138242,10086,24493,862304955.21,710614571.65,1572919526.8600001,749562532.34,823356994.5200001,718029490.08,105327504.44,105327504.44,141783374.07,12467892.72,0.0514,0.6906
